monto,monedas,tiempo_s
1,1,1.1800002539530396e-05
2,2,1.2199976481497288e-05
3,3,1.0700023267418146e-05
4,4,1.270000939257443e-05
5,1,5.299982149153948e-06
6,2,1.309998333454132e-05
7,3,1.270000939257443e-05
8,4,7.599999662488699e-06
9,5,1.3199984095990658e-05
10,1,1.4299992471933365e-05
11,2,3.819999983534217e-05
12,3,1.5199999324977398e-05
13,4,1.650000922381878e-05
14,5,1.7799990018829703e-05
15,2,2.6900001103058457e-05
16,3,1.680001150816679e-05
17,4,2.0199979189783335e-05
18,5,1.819999306462705e-05
19,6,1.0899995686486363e-05
20,2,2.0400009816512465e-05
21,3,2.060001133941114e-05
22,4,2.2000021999701858e-05
23,5,9.059999138116837e-05
24,6,2.1099986042827368e-05
25,1,2.0899984519928694e-05
26,2,1.4199991710484028e-05
27,3,2.579999272711575e-05
28,4,2.2899999748915434e-05
29,5,2.060001133941114e-05
30,2,1.650000922381878e-05
